School,G,W,L,W-LPct,SRS,SOS,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TSPct,TRBPct,ASTPct,STLPct,BLKPct,eFGPct,TOVPct,ORBPct,FT/FGA,Season,TeamID
louisiana-monroe,33,21,12,0.636,-2.77,-3.67,2121,1970,63.3,100,0.263,0.29,0.504,52,54.1,7.9,10.3,0.473,15.4,32.3,0.187,2015,1419
louisiana state,32,22,10,0.688,11.67,5.71,2358,2167,69.7,103.3,0.334,0.285,0.535,51.5,57.8,10.3,14.6,0.505,17.7,34,0.23,2015,1261
louisiana tech,33,25,8,0.758,5.57,-2.06,2400,2134,67.9,106.3,0.346,0.358,0.533,46.8,53,12.6,15.1,0.501,13.8,29,0.238,2015,1256
louisville,32,24,8,0.75,18.65,8.96,2215,1905,66.3,104.1,0.388,0.326,0.512,52,47.8,12.5,14.3,0.478,15,35.1,0.256,2015,1257
loyola (il),32,19,13,0.594,2.05,0.98,1985,1930,60,103,0.333,0.321,0.558,48.6,57.5,10.6,7,0.534,18.5,28,0.224,2015,1260
loyola marymount,31,8,23,0.258,-3.62,5.79,1928,2188,62.9,98.1,0.357,0.279,0.508,49.6,57.2,9.6,9.2,0.467,18.4,33.7,0.254,2015,1258
loyola (md),30,11,19,0.367,-10.51,-3.14,1764,1985,62.3,92.2,0.376,0.287,0.47,50.9,47.8,8.7,8.1,0.428,17.3,32.1,0.253,2015,1259
maine,30,3,27,0.1,-17.6,-3.2,1812,2244,66.3,90.4,0.276,0.381,0.501,44.9,60.7,8.9,3.2,0.466,19.4,23.3,0.201,2015,1263
manhattan,32,19,13,0.594,-0.64,-3.01,2236,2160,67.9,101.4,0.479,0.365,0.54,48.4,60.7,11.7,8.3,0.497,18.5,31,0.333,2015,1264
marist,32,7,25,0.219,-10.34,-2.71,1957,2201,66.4,92.1,0.38,0.44,0.509,42.9,51.8,10.5,9.9,0.468,18.7,21.2,0.266,2015,1265
marquette,32,13,19,0.406,7.3,9.24,2083,2145,64.6,100,0.358,0.354,0.524,46.6,64.6,11.6,10.1,0.498,17,29,0.231,2015,1266
marshall,32,11,21,0.344,-6.22,0.01,2137,2288,71,93.7,0.346,0.428,0.499,48.6,55.8,9.3,8.8,0.469,19.1,29.1,0.224,2015,1267
maryland-baltimore county,30,4,26,0.133,-15.96,-4.93,1682,2013,64.4,86.7,0.374,0.325,0.496,46.5,57.2,10.2,9.3,0.463,21.8,23.3,0.241,2015,1420
maryland-eastern shore,32,18,14,0.563,-6.45,-7.04,2165,2146,65.1,103.6,0.477,0.335,0.551,51.6,59.8,11.5,4.3,0.518,20,35.2,0.315,2015,1271
maryland,33,27,6,0.818,14.08,7.84,2293,2087,64.8,106.5,0.445,0.382,0.559,51.1,48.6,7.4,13.3,0.509,16.4,29.2,0.337,2015,1268
massachusetts-lowell,29,12,17,0.414,-11,-4.1,1780,1928,64.5,93.9,0.343,0.42,0.517,45.1,53,10.6,3.3,0.487,18.3,21.9,0.228,2015,1262
massachusetts,32,17,15,0.531,3.87,4.96,2220,2255,68.3,100.7,0.424,0.273,0.518,51.5,55.6,9.8,10.4,0.473,17.6,33.9,0.298,2015,1269
mcneese state,31,15,16,0.484,-9.66,-5.03,2154,2210,66,104.4,0.309,0.331,0.501,49.1,51.6,10.8,11.6,0.474,13.5,34.6,0.201,2015,1270
memphis,32,18,14,0.563,7.37,3.12,2155,2019,65.6,101.8,0.316,0.277,0.513,53,57.4,10.6,15.7,0.484,17,37,0.211,2015,1272
mercer,33,18,15,0.545,-1.86,-4.08,2193,2055,60.7,107.1,0.406,0.326,0.534,51.1,57.5,10.2,7.6,0.497,14.7,33.7,0.278,2015,1273
miami (fl),33,21,12,0.636,12.49,7.22,2257,2083,62.5,107.8,0.347,0.407,0.546,50,56.2,9.1,9.9,0.508,14,28.8,0.256,2015,1274
miami (oh),32,13,19,0.406,-3.28,0.79,2123,2226,65.4,99.8,0.383,0.325,0.535,48.1,50.7,11.5,5.6,0.496,17.3,26,0.272,2015,1275
michigan state,34,23,11,0.676,17.53,9.06,2444,2156,63.1,110.6,0.319,0.347,0.555,55,64.6,8.2,12.4,0.538,15.3,34.6,0.202,2015,1277
michigan,32,16,16,0.5,9.94,9.97,2071,2048,60.7,104.2,0.271,0.404,0.532,47,52,8.8,5.5,0.498,13.7,25.5,0.205,2015,1276
middle tennessee,35,19,16,0.543,0.62,-0.35,2229,2179,62.3,99.8,0.376,0.36,0.519,52.1,51.5,9.5,9.1,0.48,17.8,31.5,0.265,2015,1292
milwaukee,30,14,16,0.467,-4.67,0.33,1963,2077,65.4,100.1,0.377,0.399,0.532,49.4,58.9,8,8.8,0.489,17.3,26.9,0.277,2015,1454
minnesota,33,18,15,0.545,12.66,7.53,2449,2233,68.2,108,0.33,0.332,0.55,48.1,58.3,13.8,8.6,0.526,15.4,30.6,0.221,2015,1278
mississippi state,31,12,19,0.387,2.87,5.06,1918,1986,64.2,96.4,0.464,0.283,0.521,51.7,42,9.7,8,0.475,20.3,32.3,0.322,2015,1280
mississippi valley state,32,6,26,0.188,-23.71,-7.55,2045,2562,71,89,0.33,0.272,0.463,44.2,45.8,10.5,2.7,0.427,18,30.1,0.216,2015,1290
mississippi,32,20,12,0.625,11.88,6.76,2324,2160,66.6,108.2,0.376,0.331,0.533,51.9,52.2,9.8,9.5,0.482,14.4,34.9,0.292,2015,1279
missouri-kansas city,33,14,19,0.424,-8.02,-5.09,2164,2202,65,99,0.407,0.365,0.51,46.9,52,12.2,9.8,0.468,17.5,32.2,0.282,2015,1282
missouri state,31,11,20,0.355,-5,1.58,1850,1989,61.1,96.1,0.326,0.318,0.497,50.4,53.1,8.3,9.1,0.455,17,31.1,0.238,2015,1283
missouri,32,9,23,0.281,1.53,9.66,1935,2173,63.4,94.7,0.331,0.352,0.494,48.2,50.2,8.8,8.2,0.461,17.7,29.7,0.22,2015,1281
monmouth,33,18,15,0.545,-1.97,-2.7,2134,2110,64.1,99.7,0.41,0.297,0.525,48.8,51,10.8,10.6,0.479,17.5,30,0.296,2015,1284
montana state,30,7,23,0.233,-12.87,-3.46,1917,2152,66.4,96.3,0.289,0.413,0.506,49.3,52.7,6.6,9.3,0.471,18,29.3,0.208,2015,1286
montana,32,20,12,0.625,-1.62,-4.29,2283,2138,63.2,108.7,0.332,0.406,0.57,50.2,55.7,10.2,8.2,0.541,16.1,28.4,0.238,2015,1285
morehead state,34,17,17,0.5,-0.79,-3.45,2420,2255,67,105.5,0.354,0.331,0.537,53.4,58,12.1,8.5,0.499,17.2,35.8,0.254,2015,1287
morgan state,31,7,24,0.226,-16.1,-6.39,1898,2199,65.7,92.9,0.331,0.306,0.437,47.8,46.5,8.6,6.8,0.402,13.4,34.8,0.207,2015,1288
mount st. mary's,30,15,15,0.5,-5.97,-4.24,1893,1945,63.1,97.9,0.304,0.42,0.503,48.3,51.7,10.5,11.7,0.472,16.4,30.6,0.207,2015,1291
murray state,32,27,5,0.844,5.95,-3.88,2531,2167,67.4,116.4,0.408,0.337,0.579,52.7,55.6,10.9,9.1,0.549,14.7,36,0.285,2015,1293
navy,32,13,19,0.406,-7.64,-3.38,1952,2059,61.5,99.1,0.313,0.316,0.519,49.6,58.8,9.5,9.6,0.491,17.3,29.6,0.21,2015,1298
nebraska-omaha,29,12,17,0.414,-7.25,-5.21,2226,2256,73.4,103.7,0.427,0.313,0.537,50.1,45.6,11,7.8,0.497,16,30.6,0.298,2015,1303
nebraska,31,13,18,0.419,6.24,7.92,1905,1957,63.8,94.7,0.365,0.351,0.503,48.5,47.4,9.5,8.6,0.462,17.2,26.7,0.258,2015,1304
nevada-las vegas,33,18,15,0.545,5.7,3.67,2250,2125,65.1,103.5,0.33,0.352,0.535,49,56.1,8.4,18.9,0.51,15.3,27,0.219,2015,1424
nevada,31,9,22,0.29,-5.69,1.41,1874,2061,63.8,94.4,0.42,0.249,0.467,54,46.8,8.5,10.3,0.414,18,40.2,0.292,2015,1305
new hampshire,31,19,12,0.613,-3.28,-6.14,2071,1889,64.3,101.7,0.369,0.359,0.534,53.6,49.5,7.9,6.3,0.503,16.8,28.3,0.25,2015,1306
new mexico state,33,23,10,0.697,3.88,-4.35,2260,1958,63,107.9,0.446,0.257,0.551,55.3,50.5,10,9.6,0.513,18.5,40.1,0.31,2015,1308
new mexico,31,15,16,0.484,3.1,1.32,1921,1866,61.9,99,0.384,0.302,0.512,53.7,58,9.2,12.5,0.479,17.4,33.2,0.253,2015,1307
new orleans,29,11,18,0.379,-11.56,-6.06,2062,2133,70,100.8,0.48,0.228,0.523,51.4,39.6,10.6,8.2,0.477,18.9,35.8,0.331,2015,1309
niagara,30,8,22,0.267,-9.05,-1.58,1930,2154,65.5,97.5,0.412,0.326,0.502,50.1,52.6,8.7,6.4,0.456,17.7,32,0.286,2015,1310
nicholls state,29,10,19,0.345,-15.54,-5,1885,2117,68.4,94.2,0.427,0.328,0.519,49,55.4,10,11.8,0.489,21.5,31.6,0.267,2015,1311
njit,29,18,11,0.621,-3.7,-4.38,2065,1934,67.2,106,0.379,0.417,0.568,50.1,62.2,10.6,15.4,0.539,18.6,30,0.264,2015,1312
norfolk state,33,20,13,0.606,-4.52,-6.45,2310,2173,65.4,105.4,0.423,0.305,0.549,53.5,53,7.8,13.7,0.52,17.7,35.2,0.281,2015,1313
north carolina-asheville,31,15,16,0.484,-7.26,-5.72,2242,2183,69,104.5,0.349,0.368,0.542,50.5,54.2,10.6,12.8,0.505,17.6,32.4,0.253,2015,1421
north carolina a&t,32,9,23,0.281,-16.6,-7.87,1884,2112,63.3,92.6,0.39,0.342,0.49,49.8,45.8,8.4,11.9,0.448,20.3,34.3,0.266,2015,1299
north carolina central,32,25,7,0.781,0.53,-9.27,2207,1746,62.7,109.5,0.382,0.356,0.577,53.2,57.2,10.7,12.8,0.551,17.6,32.4,0.261,2015,1300
north carolina-greensboro,33,11,22,0.333,-7.85,-4.22,2290,2337,67.1,102.7,0.323,0.316,0.524,50.4,47.7,9.2,8.4,0.499,16.1,31.4,0.21,2015,1422
north carolina state,33,20,13,0.606,14.25,9.28,2323,2159,64.4,108.4,0.362,0.323,0.529,52.3,46.7,6.1,13.8,0.496,13.8,34.2,0.247,2015,1301
north carolina-wilmington,31,18,13,0.581,-1.91,-1.81,2168,2113,67.8,102,0.37,0.253,0.521,50,44.6,11.2,10.3,0.487,15.9,31.8,0.25,2015,1423
north carolina,35,24,11,0.686,21.32,11.81,2727,2394,69.4,111.4,0.348,0.226,0.546,55.5,60.9,9.5,9.3,0.514,15.2,39.9,0.243,2015,1314
north dakota state,32,23,9,0.719,-2.18,-4.48,2065,1971,61.6,103.5,0.363,0.349,0.531,51.6,43.4,7.7,11.1,0.497,14,26,0.251,2015,1295
north dakota,30,8,22,0.267,-12.23,-3.8,2032,2201,68.2,98.5,0.384,0.332,0.525,47.4,49.5,9.2,8.6,0.491,16.3,25,0.26,2015,1315
north florida,34,23,11,0.676,-0.34,-5.76,2574,2304,67.6,112.1,0.388,0.424,0.585,50.5,56.3,9.3,13.3,0.552,16.1,29.8,0.281,2015,1316
north texas,31,14,17,0.452,-4.64,-0.4,2025,2113,67,97.1,0.403,0.291,0.506,49.5,42.7,10,8.7,0.476,17.5,31,0.254,2015,1317
northeastern,34,23,11,0.676,1.98,-1.61,2332,2210,63.5,106.8,0.421,0.308,0.582,53.9,59.8,8.3,11.2,0.546,19.1,29.6,0.305,2015,1318
northern arizona,33,19,14,0.576,-4.07,-4.45,2246,2208,64.9,104,0.373,0.348,0.514,53.9,53.3,7.3,10.6,0.466,15.4,35.3,0.277,2015,1319
northern colorado,30,15,15,0.5,-6.8,-6.19,2242,2203,64,114.8,0.356,0.316,0.567,49.5,46,10,5.1,0.536,13.8,33.9,0.254,2015,1294
northern illinois,30,14,16,0.467,-1.27,0.39,1971,1989,64,101.4,0.476,0.305,0.521,52.7,44.5,11.6,6.8,0.477,18.6,36.7,0.324,2015,1296
northern iowa,33,30,3,0.909,12.4,1.34,2157,1792,57.5,112,0.402,0.4,0.594,52,53.6,10.2,9,0.562,16.2,26.8,0.292,2015,1320
northern kentucky,30,13,17,0.433,-6.55,-4.19,2117,2079,65.1,107.5,0.299,0.383,0.547,50.1,48.7,8.8,8.1,0.527,15.4,29.6,0.197,2015,1297
northwestern state,31,19,12,0.613,-4.43,-4.36,2608,2552,75.2,111.9,0.351,0.356,0.563,46.3,53.6,10.3,11,0.525,14.3,31.3,0.262,2015,1322
northwestern,32,15,17,0.469,6.5,7.6,2031,2066,60.5,103,0.286,0.38,0.536,49.5,63.3,6,12.2,0.504,16,27.6,0.209,2015,1321
notre dame,34,29,5,0.853,19.42,6.24,2680,2232,64.1,121.3,0.371,0.386,0.615,50.1,54.4,10.6,10.6,0.586,12.9,28.1,0.275,2015,1323
oakland,32,16,16,0.5,-0.68,1.75,2359,2385,66.3,108.7,0.38,0.382,0.561,50.1,60.4,8.7,5,0.532,16.3,30.5,0.261,2015,1324
ohio state,33,23,10,0.697,20.43,7,2502,2059,66.2,114.1,0.348,0.321,0.569,52.1,55.6,11.7,13.1,0.545,14.6,34.1,0.236,2015,1326
ohio,30,10,20,0.333,-3.6,1,2028,2166,67.2,100.1,0.29,0.38,0.531,48.3,46.9,7.6,12.3,0.498,16.8,25.9,0.213,2015,1325
oklahoma state,31,18,13,0.581,13.99,10.36,2087,1932,64.5,103.6,0.393,0.385,0.547,48.5,50.3,12.2,15.8,0.507,16.8,27.8,0.286,2015,1329
oklahoma,32,22,10,0.688,19.92,10.73,2302,2008,68.1,104.8,0.327,0.336,0.532,50.7,48.9,10.1,12.9,0.494,15.3,30.9,0.24,2015,1328
old dominion,31,24,7,0.774,7.9,-0.74,2026,1758,61,106.3,0.314,0.327,0.519,54,55.7,10.4,9,0.491,14.8,36,0.212,2015,1330
oral roberts,32,18,14,0.563,-4.14,-2.31,2208,2170,66.2,103.4,0.433,0.303,0.525,50.1,46.6,9.1,9.9,0.479,15.5,31,0.309,2015,1331
oregon state,31,17,14,0.548,6.26,5.3,1887,1834,62.1,97.7,0.363,0.314,0.51,48.2,56.1,12.5,11.4,0.472,16.6,29,0.252,2015,1333
oregon,34,25,9,0.735,11.35,7.32,2569,2405,68.2,109.2,0.29,0.339,0.556,51,51.7,8.3,10.9,0.522,14.9,31.2,0.22,2015,1332
pacific,31,12,19,0.387,-2.56,3.95,1996,2115,62,102.5,0.408,0.358,0.512,52,53.3,6.4,7.1,0.479,16.9,35.6,0.265,2015,1334
penn state,34,18,16,0.529,8.15,7.48,2273,2250,65.8,100.1,0.347,0.359,0.516,49.7,42.3,9.1,11.4,0.48,15.9,29.7,0.241,2015,1336
pennsylvania,28,9,19,0.321,-8.11,-1.15,1687,1882,63.1,95,0.359,0.325,0.523,50.4,54.9,8.6,7.2,0.491,20.8,29.6,0.242,2015,1335
pepperdine,31,18,13,0.581,5.26,3.6,1975,1910,64.2,99.2,0.38,0.279,0.519,49.5,60.3,9.5,9,0.471,17,29.5,0.284,2015,1337
pittsburgh,33,19,14,0.576,8.98,7.66,2225,2170,61.1,109.2,0.347,0.26,0.524,51.4,66.9,8.2,6.8,0.491,13.2,35.8,0.24,2015,1338
portland state,29,15,14,0.517,-7.79,-4.9,2083,2098,67.2,106.3,0.364,0.308,0.54,47.7,52.7,9.3,10.3,0.498,14.5,28.1,0.27,2015,1340
portland,32,17,15,0.531,4.02,3.39,2249,2180,64.7,106.9,0.366,0.312,0.541,52.8,60,8.7,11.7,0.504,15.9,35,0.262,2015,1339
prairie view,33,15,18,0.455,-10.62,-7.96,2211,2280,69.2,96.8,0.314,0.277,0.5,45.8,43.1,12.6,7.5,0.473,17.7,32.3,0.203,2015,1341
presbyterian,32,10,22,0.313,-16.42,-4.67,1978,2214,63.2,97.7,0.33,0.257,0.516,49.1,46,8.2,7.3,0.489,18,29.5,0.217,2015,1342
princeton,31,16,14,0.533,-1.06,-2.65,2066,1972,65,105.9,0.452,0.459,0.584,48.8,58.1,8.5,11.4,0.549,17.3,21.2,0.322,2015,1343
providence,33,22,11,0.667,14.47,9.74,2317,2161,65.7,106.1,0.416,0.284,0.529,52.8,57.5,10.9,11.8,0.486,15.3,35.3,0.295,2015,1344
purdue,33,21,12,0.636,13.38,7.9,2310,2129,65.1,106.8,0.425,0.323,0.543,53.3,61.4,8.3,14.7,0.507,17.1,36.2,0.291,2015,1345
quinnipiac,30,15,15,0.5,-1.29,-3.49,2092,2026,66.4,102.3,0.355,0.296,0.494,57.9,58.2,5.2,13.6,0.44,16.6,42.1,0.274,2015,1346
radford,32,21,11,0.656,-4.3,-5.57,2327,2166,65.4,109.4,0.364,0.327,0.546,51.9,51.1,10.3,11,0.515,15.3,35.9,0.251,2015,1347
rhode island,31,22,9,0.71,9.58,2.84,2079,1837,65.9,101.4,0.474,0.282,0.53,52.5,55.5,10,14.8,0.493,18.1,32.9,0.311,2015,1348
rice,32,12,20,0.375,-2.61,-0.54,2052,2107,62.8,99.4,0.339,0.493,0.547,48.8,59.6,9.2,8.6,0.51,19.8,27.4,0.251,2015,1349
richmond,32,19,13,0.594,8.68,3.77,2092,1935,61.4,104.5,0.316,0.379,0.549,45.7,56.6,11.3,9.9,0.522,14.5,23,0.217,2015,1350
rider,32,21,11,0.656,-1.41,-3.07,2094,2041,64.6,100.1,0.36,0.33,0.514,50.3,50.4,10.9,7.3,0.493,16.5,31.4,0.217,2015,1351
robert morris,33,19,14,0.576,-2.98,-4.25,2277,2235,66.7,102.7,0.36,0.309,0.541,48.3,50.4,12.7,7.8,0.505,17.9,31.3,0.257,2015,1352
rutgers,32,10,22,0.313,0.62,8.49,1898,2150,64.9,91.3,0.326,0.294,0.469,49,49.9,8.6,9.5,0.436,17.2,30.5,0.212,2015,1353
sacramento state,31,20,11,0.645,-5.02,-5.85,2196,2106,63.6,111.4,0.357,0.295,0.579,48.4,56.2,11.3,6.4,0.546,15.3,28.1,0.262,2015,1170
sacred heart,32,15,17,0.469,-7.15,-5.76,2360,2367,69.2,103.7,0.358,0.277,0.528,51,53.7,9.2,8,0.502,16.6,34,0.232,2015,1357
saint francis (pa),31,16,15,0.516,-5.71,-5.08,1997,1983,63.9,100,0.356,0.409,0.537,48,52.6,10.3,8.4,0.508,17.6,25.7,0.24,2015,1384
saint joseph's,31,13,18,0.419,0.01,2.82,1912,1999,64.1,94.7,0.352,0.328,0.481,50.1,57.3,10.2,11.8,0.453,16.4,31.4,0.217,2015,1386
saint louis,32,11,21,0.344,-5.24,2.56,1912,2122,63.7,93,0.42,0.333,0.502,47.2,60,8.3,6.8,0.465,19.1,27.3,0.275,2015,1387
saint mary's (ca),30,21,9,0.7,9.49,4.05,2077,1909,62.4,109.2,0.355,0.37,0.562,55.3,62.8,7.9,6.8,0.53,16.6,33.2,0.252,2015,1388
saint peter's,34,16,18,0.471,-2.76,-3.73,2081,2048,61.3,98.3,0.44,0.332,0.508,50.1,49.3,10.1,8.9,0.469,17,31.4,0.29,2015,1389
sam houston state,33,25,8,0.758,2.91,-6.19,2435,1959,67.1,108.7,0.455,0.412,0.541,55,60.2,9.8,13.5,0.497,16.3,36.3,0.323,2015,1358
samford,32,13,19,0.406,-9.33,-5.49,2216,2301,67.2,102.6,0.376,0.335,0.535,48,54.2,10.9,8.2,0.502,16.8,30.2,0.257,2015,1359
san diego state,34,26,8,0.765,12.02,3.78,2101,1807,60.6,100.9,0.362,0.308,0.497,52.4,47.6,11.3,13.7,0.468,15.6,35.6,0.228,2015,1361
san diego,31,15,16,0.484,5.7,4.13,2006,1949,63.3,101.4,0.386,0.344,0.518,49.2,56.2,10.1,11.1,0.48,16,30.5,0.265,2015,1360
san francisco,32,14,18,0.438,3.64,3.38,2215,2167,65.6,104.8,0.409,0.344,0.535,50.5,56.6,8.8,6.9,0.51,15.5,31.1,0.257,2015,1362
san jose state,30,2,28,0.067,-15.81,2.33,1612,2086,64.3,83.2,0.305,0.428,0.452,45.8,53.2,7.5,8.8,0.418,19.4,24.9,0.199,2015,1363
santa clara,32,14,18,0.438,0.21,4.71,2027,2136,61.3,102.9,0.31,0.38,0.527,46.9,53.3,9.1,5.7,0.491,15.1,28.4,0.229,2015,1365
savannah state,30,8,22,0.267,-18.03,-6.14,1683,2010,65.9,84.8,0.354,0.258,0.465,46.6,43.8,13.3,6.2,0.442,21.5,29.7,0.203,2015,1366
seattle,31,16,15,0.516,-7.15,-5.56,1941,1922,61.8,100.8,0.373,0.359,0.539,53.1,63.3,8.6,4.6,0.512,18.9,32.3,0.246,2015,1370
seton hall,31,16,15,0.516,8.19,7.81,2119,2107,66,102.7,0.381,0.349,0.514,50.5,52.2,9,11.2,0.482,15.9,34.7,0.25,2015,1371
siena,31,11,20,0.355,-6.77,-2.74,2164,2289,66.9,103.9,0.419,0.264,0.52,49,54.9,11.2,8.7,0.475,15.9,36.3,0.297,2015,1373
south alabama,33,12,21,0.364,-9.58,-3.16,2275,2438,68.5,99.5,0.421,0.353,0.523,49.3,46.3,6.9,10.3,0.479,18.1,30.7,0.296,2015,1375
south carolina state,33,11,22,0.333,-17.23,-7.33,1965,2203,65,91.3,0.332,0.329,0.46,48,51,9.3,8.2,0.432,16.3,31,0.2,2015,1354
south carolina upstate,34,23,11,0.676,-1.64,-7.54,2457,2066,65,111.2,0.3,0.398,0.534,52.7,56.8,12.4,8.7,0.513,13.6,37.1,0.195,2015,1367
south carolina,33,17,16,0.515,10.97,8.66,2146,2046,65.3,99.6,0.37,0.329,0.502,51.6,59.5,9.7,10.9,0.454,16.7,35.2,0.273,2015,1376
south dakota state,33,23,10,0.697,3.01,-4.12,2409,2109,66.4,109.2,0.415,0.382,0.564,51.6,48.8,8.2,11.4,0.527,15.4,28.8,0.294,2015,1355
south dakota,33,17,16,0.515,-4.97,-3.55,2309,2312,65.8,104,0.338,0.306,0.517,51.3,47.8,8.3,6,0.477,14.4,31.9,0.247,2015,1377
south florida,32,9,23,0.281,-4.72,2.8,1970,2189,64.4,94.5,0.323,0.26,0.496,48.8,48.6,8.8,12.3,0.473,18.2,31.5,0.2,2015,1378
southeast missouri state,30,13,17,0.433,-5.31,-3.81,2087,2064,67.2,103,0.368,0.328,0.527,50.3,50.9,10.8,11.7,0.496,16.7,32.4,0.246,2015,1369
southeastern louisiana,32,9,23,0.281,-10.64,-5.8,2186,2324,68.4,98.7,0.331,0.336,0.537,48.8,48.2,8.8,9.6,0.511,19.6,29.1,0.22,2015,1368
southern california,32,12,20,0.375,2.42,6.42,2143,2271,68.8,95.9,0.338,0.277,0.496,48.8,50.4,9.3,9.9,0.468,17.2,31.5,0.214,2015,1425
siu edwardsville,28,12,16,0.429,-7.47,-4.74,1909,1884,67.3,100.8,0.378,0.34,0.528,49.5,52.3,9.4,11.9,0.495,17.3,30,0.255,2015,1188
southern illinois,33,12,21,0.364,-3.65,-0.77,1968,2044,61.7,96.7,0.41,0.257,0.506,51.4,40.2,10.9,6,0.461,18.1,31.1,0.288,2015,1356
southern methodist,33,27,6,0.818,13.24,3.55,2291,1972,63.2,109.4,0.442,0.227,0.558,55.2,63.1,10.8,10.8,0.52,17.1,37.4,0.312,2015,1374
southern mississippi,29,9,20,0.31,-9.91,0.05,1742,1978,63,94.6,0.358,0.385,0.518,46.6,57,9.7,7.1,0.493,19.7,27,0.225,2015,1379
southern utah,29,10,19,0.345,-11.99,-5.49,2011,2146,68,101.1,0.39,0.349,0.552,47.9,49.1,7.2,10.8,0.524,17.9,23.3,0.261,2015,1381
southern,35,18,17,0.514,-9.74,-8.02,2259,2226,66.3,96.7,0.409,0.255,0.499,49.7,44.8,10.3,10.3,0.462,17.1,32.5,0.268,2015,1380
st. bonaventure,31,18,13,0.581,4.15,1.57,2085,2005,65.1,102.5,0.379,0.292,0.513,52.9,52.3,10.1,12.2,0.471,16,35,0.268,2015,1382
st. francis (ny),34,23,11,0.676,-2.01,-6.5,2344,2178,65.6,104,0.408,0.332,0.506,54.8,51.7,10.1,13.2,0.465,16.3,39.9,0.277,2015,1383
st. john's (ny),32,21,11,0.656,12.49,9.2,2279,2164,67.6,104.9,0.369,0.301,0.529,47.5,49.8,11,16.3,0.495,13.8,28.6,0.256,2015,1385
stanford,32,19,13,0.594,12.12,7.4,2314,2163,65.5,108.7,0.39,0.312,0.536,52.9,49.1,8.2,6.9,0.494,13.8,33.6,0.283,2015,1390
stephen f. austin,33,29,4,0.879,8.7,-4.76,2622,2131,68.2,116,0.432,0.366,0.598,54.2,65.7,11.2,10.3,0.562,17.7,38,0.317,2015,1372
stetson,31,9,22,0.29,-15.87,-6.34,2064,2290,67.2,99.1,0.339,0.341,0.517,47,52.2,6.7,9.1,0.489,16.3,27.2,0.223,2015,1391
stony brook,34,23,11,0.676,0.3,-3.89,2220,2030,63.4,102.6,0.325,0.285,0.498,56,50.5,8,10.3,0.467,15.5,37.7,0.216,2015,1392
syracuse,31,18,13,0.581,12.12,7.9,2096,1965,66.1,101.6,0.354,0.29,0.505,51.1,61.3,12.5,12.5,0.474,15.3,33.5,0.234,2015,1393
temple,33,23,10,0.697,7.74,3.53,2139,2000,65.1,99.3,0.352,0.364,0.48,50.8,55.4,10.7,11.7,0.439,12.9,31.9,0.242,2015,1396
tennessee-martin,30,18,12,0.6,-3.27,-4.45,2090,1948,62.8,109.6,0.336,0.361,0.564,52.8,50.9,8,5.7,0.537,15.9,30.7,0.235,2015,1404
tennessee state,31,5,26,0.161,-15.04,-2.49,1793,2111,64.7,89.3,0.419,0.314,0.483,47.8,48.1,8.3,10.2,0.45,19.6,27.8,0.259,2015,1398
tennessee tech,30,12,18,0.4,-6.56,-4.06,2118,2095,67.7,103.9,0.35,0.302,0.522,53.4,51.4,9.1,8.5,0.49,17,36.9,0.237,2015,1399
tennessee,32,16,16,0.5,7.54,8.48,2025,2055,61.2,103,0.323,0.343,0.515,51.1,48.3,12.6,9.6,0.482,16.6,37,0.223,2015,1397
texas a&m-corpus christi,32,19,13,0.594,-5.82,-6.65,2126,2054,64.2,103.1,0.534,0.297,0.539,49.5,47.1,10.6,8.1,0.493,17.3,31.1,0.365,2015,1394
texas a&m,31,20,11,0.645,11.47,6.5,2083,1929,64.2,103.8,0.382,0.295,0.529,53.3,60.3,8.9,7.8,0.5,16.5,34,0.25,2015,1401
texas-arlington,31,16,15,0.516,-3.69,-2.86,2220,2206,70.2,101.6,0.383,0.365,0.53,50.3,51.2,9.4,9.5,0.497,17.9,32.1,0.258,2015,1426
texas christian,33,18,15,0.545,11.79,6,2249,2058,64.7,104.6,0.465,0.254,0.509,51.9,55,9.6,13,0.479,15.3,37.5,0.286,2015,1395
texas-el paso,32,22,10,0.688,5.51,-0.52,2216,2023,65.3,105.7,0.435,0.297,0.553,50.9,56.6,8.2,11.2,0.524,16.7,29.3,0.286,2015,1431
texas-pan american,31,10,21,0.323,-14.46,-4.68,1927,2179,65,95.7,0.405,0.269,0.502,47.1,60.6,8.5,8.7,0.461,18,30.6,0.274,2015,1410
texas-san antonio,30,14,16,0.467,-3.19,-2.48,2120,2111,66.9,105.1,0.416,0.345,0.52,51.6,51.6,10.6,6.2,0.478,15.5,35.8,0.291,2015,1427
texas southern,34,22,12,0.647,-5.99,-6.73,2318,2293,64.4,103.5,0.465,0.314,0.531,50.3,46.6,9.3,8.6,0.494,17.1,34,0.307,2015,1411
texas state,31,14,17,0.452,-5.43,-3.54,1905,1854,63.4,95.1,0.368,0.308,0.493,48.2,52,11.2,6.8,0.452,17.1,29.2,0.254,2015,1402
texas tech,32,13,19,0.406,4.48,7.92,1949,2059,63,95.9,0.461,0.325,0.497,50.7,54.6,9.2,12.1,0.457,18.6,34.6,0.296,2015,1403
texas,33,20,13,0.606,17.04,9.5,2242,1993,63,106.6,0.369,0.34,0.534,55.9,55.8,5.9,22,0.494,16.8,38,0.267,2015,1400
